"filename", "language", "XML", "JSON", "C#", "Razor", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\AndroidManifest.xml", "XML", 12, 0, 0, 0, 0, 0, 4, 0, 16
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\MainActivity.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\MainApplication.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\Resources\values\colors.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\MacCatalyst\AppDelegate.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\MacCatalyst\Program.cs", "C#", 0, 0, 12, 0, 0, 0, 3, 2, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Tizen\Main.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Tizen\tizen-manifest.xml", "XML", 15, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Windows\App.xaml", "XML", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Windows\App.xaml.cs", "C#", 0, 0, 12, 0, 0, 0, 9, 5, 26
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\iOS\AppDelegate.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\iOS\Program.cs", "C#", 0, 0, 12, 0, 0, 0, 3, 2, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Properties\launchSettings.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\BackpackRepository.cs", "C#", 0, 0, 369, 0, 0, 0, 48, 53, 470
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\BaseRepository.cs", "C#", 0, 0, 163, 0, 0, 0, 34, 14, 211
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\ChildRepository.cs", "C#", 0, 0, 234, 0, 0, 0, 39, 34, 307
